P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
UNC93B1	982	1247	869	1051	1156	842
ALDH3B1	247	345	266	257	316	214
RP5-901A4.1	18	20	21	13	12	11
NDUFS8	2220	2100	1981	2260	1857	1707
TCIRG1	1615	2090	1562	1880	1945	1605
RP11-802E16.3	33	41	26	36	24	44
CHKA	1054	1163	1161	1222	1096	1079
CTD-2655K5.1	4	6	2	4	6	3
SUV420H1	1132	1283	1239	1076	1109	1027
C11orf24	1364	1241	1162	1433	1181	1117
LRP5	9711	9753	9462	11394	10810	8761
PPP6R3	3357	3623	3258	3510	3295	2949
CTD-2007L18.5	9	5	6	7	7	6
GAL	36	11	20	55	35	23
MTL5	288	262	272	301	281	242
CPT1A	4415	5071	4364	4668	4279	3612
RP11-757G1.6	1	4	2	5	10	8
MRPL21	1058	1016	1118	1100	890	883
IGHMBP2	999	899	1075	1027	789	923
RP11-757G1.5	8	10	9	12	5	7
MRGPRD	2	1	0	1	0	0
MRGPRF	2	3	5	4	8	5
RP11-554A11.6	1	1	3	2	2	2
TPCN2	588	643	560	616	618	549
RP11-554A11.7	0	2	3	1	0	3
RP11-554A11.8	2	1	0	1	3	2
RP11-554A11.9	5	6	4	3	8	6
MYEOV	2755	2105	2752	3057	2035	2534
RP11-211G23.2	83	104	90	87	105	85
RP11-211G23.1	1	1	1	3	5	2
AP000439.1	4	3	1	2	4	5
AP000439.2	1	0	0	1	1	1
AP000439.5	0	0	1	0	0	0
AP000439.3	0	0	0	1	1	3
CCND1	7646	6837	7651	11191	9470	9416
ORAOV1	581	605	559	654	640	640
FGF19	2	2	3	2	5	2
AP001888.1	0	1	2	1	0	1
FGF4	1	1	3	2	0	1
FGF3	1	1	1	1	0	1
RP11-626H12.1	1	0	1	0	1	1
RP11-626H12.2	1	1	0	2	0	1
RP11-626H12.3	1	2	0	2	3	0
ANO1-AS2	1	1	1	1	1	2
ANO1	39	34	38	54	36	37
FADD	557	465	617	616	515	535
PPFIA1	2888	2539	2663	2760	2280	2195
AP000487.6	3	5	1	4	4	2
CTA-797E19.2	1	0	2	0	1	0
AP000487.4	2	0	1	0	1	1
AP000487.5	42	31	34	47	31	40
CTTN	14308	12447	15485	8490	7931	9004
SHANK2	264	279	267	304	323	327
SHANK2-AS1	3	2	1	4	3	0
SHANK2-AS2	1	1	1	1	2	3
SHANK2-AS3	0	2	1	2	1	1
DHCR7	2843	3737	2457	3650	3358	2238
RP11-660L16.2	34	64	45	58	65	43
NADSYN1	884	1137	968	1058	1058	924
KRTAP5-7	0	0	0	1	1	1
KRTAP5-8	2	1	3	0	3	2
KRTAP5-9	0	4	1	0	1	0
KRTAP5-10	1	0	1	1	2	3
KRTAP5-11	0	0	0	0	1	1
AP000867.1	3	6	0	1	2	4
RP11-167J8.3	1	1	1	1	1	2
FAM86C1	308	350	341	314	311	300
DEFB108B	2	0	0	0	0	1
RP11-849H4.2	66	69	93	66	59	64
RNF121	1193	1123	1080	1418	1169	1162
IL18BP	356	327	334	402	402	382
NUMA1	4661	4324	4443	3920	3753	3298
RP11-849H4.4	15	16	9	13	14	14
LRTOMT	247	335	269	238	225	227
LAMTOR1	2114	1980	2093	2153	1636	1719
ANAPC15	253	260	262	251	202	181
FOLR3	3	1	2	2	1	1
RP11-807H22.7	1	2	1	3	1	1
FOLR1	1	4	2	5	8	3
FOLR2	0	3	4	4	1	3
INPPL1	3257	4026	2995	3183	3607	2585
PHOX2A	1	1	3	3	1	3
CLPB	1307	1140	1321	1333	1040	1055
AP000593.7	5	6	2	4	5	9
RP11-45F15.1	0	2	0	0	0	1
RP11-45F15.2	3	2	0	3	2	0
RP11-7N14.1	1	1	2	1	2	0
RP11-169D4.1	2	4	1	1	1	2
PDE2A	19	19	12	13	22	16
RP11-31L22.3	0	0	0	1	0	1
ARAP1	1513	1617	1536	1320	1448	1277
ARAP1-AS2	8	6	9	7	15	12
STARD10	210	316	204	262	282	220
ATG16L2	194	250	193	237	305	263
FCHSD2	583	589	547	588	582	483
RP11-800A3.3	0	0	0	0	1	0
RP11-800A3.2	0	0	1	0	2	2
P2RY2	13	25	19	27	41	26
P2RY6	9	6	14	12	11	9
RP11-800A3.7	12	11	11	4	4	5
ARHGEF17	1363	1569	1333	1290	1311	1091
RELT	371	314	370	345	303	328
FAM168A	2506	3203	2611	2538	2747	2213
RP11-809N8.4	1	0	0	0	2	0
PLEKHB1	83	117	87	83	118	78
RAB6A	1771	2072	1800	1907	1831	1626
RP11-707G14.1	0	0	0	0	0	1
MRPL48	340	403	424	433	346	366
COA4	1839	1708	1950	2168	1737	1920
PAAF1	555	665	602	517	527	439
RP11-707G14.7	1	4	2	6	4	2
DNAJB13	6	7	3	6	12	11
RP11-167N4.2	0	2	2	1	1	2
UCP2	661	838	571	839	836	488
UCP3	45	26	28	35	32	40
C2CD3	2264	2187	2123	2033	1803	1662
PPME1	2286	2671	2510	2320	2104	2144
P4HA3	49	39	23	45	48	31
RP11-632K5.3	2	2	0	3	5	4
PGM2L1	225	218	144	400	337	208
RP11-702H23.4	0	0	0	2	2	3
KCNE3	1	4	1	3	6	2
LIPT2	29	42	33	34	35	27
AP001372.2	37	40	41	54	42	48
POLD3	912	981	916	1029	843	816
CHRDL2	7	12	5	16	9	7
RNF169	799	784	908	1049	931	952
XRRA1	655	618	636	652	552	546
SPCS2	2092	2280	2250	2052	1715	1784
NEU3	636	609	695	714	592	615
OR2AT4	1	0	0	1	1	2
CTD-2562J17.2	2	1	0	1	1	0
SLCO2B1	26	37	19	26	41	25
CTD-2562J17.4	3	1	1	2	2	0
TPBGL	17	34	40	48	45	40
CTD-2562J17.7	382	423	311	315	370	251
ARRB1	2291	2766	2113	2091	2341	1620
RPS3	22950	24942	26143	26272	19874	24412
KLHL35	119	130	163	100	104	127
GDPD5	160	234	113	153	305	162
SERPINH1	3478	3124	2994	3794	2847	2728
CTD-2530H12.4	1	3	2	0	0	3
MAP6	5	7	10	9	11	15
MOGAT2	6	5	4	1	6	4
CTD-2530H12.1	2	3	2	0	1	2
DGAT2	384	406	392	583	544	492
RP11-535A19.1	3	2	1	0	2	2
RP11-535A19.2	5	10	8	13	7	3
UVRAG	647	722	782	792	608	591
CTD-2011F17.2	0	1	0	1	2	2
WNT11	22	14	27	25	29	31
RP11-619A14.2	0	3	1	1	2	2
RP11-619A14.3	2	2	0	0	4	1
PRKRIR	1352	1496	1408	1199	1142	1090
RP11-111M22.2	84	120	96	97	99	77
RP11-111M22.3	47	53	52	33	37	52
C11orf30	987	1057	950	893	791	740
RP11-672A2.6	0	2	0	1	2	3
RP11-672A2.5	0	1	0	2	1	0
RP11-672A2.4	1	0	0	0	1	0
AP001189.4	0	2	0	0	1	3
LRRC32	13	9	13	22	23	22
RP11-672A2.3	2	2	1	0	2	2
RP11-672A2.1	1	0	0	1	1	0
RP11-21L23.4	2	1	0	2	0	0
TSKU	782	801	719	795	768	671
RP11-21L23.3	1	7	0	3	7	4
ACER3	616	651	659	839	649	672
CTD-2547H18.1	2	3	2	1	4	3
B3GNT6	9	4	11	6	9	15
CAPN5	369	579	272	445	571	284
OMP	3	6	4	8	10	6
MYO7A	69	85	111	88	101	97
GDPD4	6	9	8	7	10	10
PAK1	1463	1433	2166	1632	1413	1842
DKFZP434E1119	0	2	3	2	2	2
CLNS1A	1591	1629	1591	1434	1446	1336
AQP11	42	43	45	62	52	48
RSF1	1814	2066	1770	1770	1769	1674
AAMDC	180	238	161	177	199	208
RP11-91P24.7	2	5	1	0	3	1
RP11-91P24.5	3	1	2	1	1	1
RP11-91P24.6	5	2	3	3	5	6
INTS4	1112	1202	1107	1115	987	992
KCTD14	90	95	103	130	114	98
RP11-7I15.4	1	0	1	1	0	0
THRSP	1	1	1	0	1	0
NDUFC2	121	164	158	144	137	165
ALG8	1242	1336	1307	1386	1181	1237
KCTD21-AS1	35	40	34	34	46	32
KCTD21	252	213	245	241	209	238
USP35	429	503	456	467	381	435
GAB2	594	563	665	519	522	554
RP11-452H21.1	1	2	0	1	2	1
RP11-452H21.2	1	1	1	0	0	1
RP11-452H21.4	5	8	7	7	7	4
NARS2	680	742	833	744	674	611
RP11-843A23.1	2	3	1	0	2	2
TENM4	18	33	35	26	47	38
RP11-673F18.1	1	0	0	0	0	0
CTD-2337I7.1	1	4	0	1	1	3
RP11-802F5.1	0	0	1	0	1	1
RP11-258O13.1	2	2	0	0	1	1
CTD-2555I5.1	1	0	0	0	2	1
RP11-686G23.2	1	3	0	2	2	3
RP11-179A16.1	4	2	6	4	5	5
RP11-876F14.1	0	1	1	1	1	0
RP11-179A16.2	1	1	2	2	2	0
FAM181B	46	19	28	32	16	27
RP11-718B12.2	0	0	0	0	1	2
PRCP	1274	1569	1341	1325	1289	1153
C11orf82	885	807	946	986	833	827
RAB30	418	411	311	403	375	288
RAB30-AS1	85	108	88	84	111	102
RP11-113K21.4	1	2	2	5	4	5
PCF11	1074	1230	1206	1269	1141	1213
ANKRD42	425	494	416	384	361	297
RP11-727A23.7	4	2	1	1	3	1
CCDC90B	656	734	748	635	568	580
RP11-727A23.10	4	3	1	3	3	6
DLG2	79	103	91	93	89	99
RP11-160H12.2	6	4	4	4	4	6
CTD-2537O9.1	0	2	0	0	1	2
AP000857.3	2	4	3	0	0	0
TMEM126B	887	1021	956	1021	1012	893
TMEM126A	481	511	491	554	547	524
CREBZF	2900	3165	2881	2620	2695	2435
CCDC89	7	10	8	6	14	8
SYTL2	3327	3347	3650	4157	3565	3715
AP000974.1	35	40	25	27	27	32
CCDC83	7	4	6	11	4	6
RP11-90K17.2	2	1	1	0	2	3
PICALM	3020	3292	2914	3069	2874	2598
RP11-12D16.2	0	1	0	0	0	3
EED	760	855	807	859	865	803
C11orf73	657	746	705	717	740	662
CCDC81	14	14	15	17	16	12
RP11-317J19.1	1	1	1	1	2	2
ME3	876	783	851	964	826	892
CTD-2005H7.1	3	2	3	1	5	1
CTD-2005H7.2	1	3	3	2	4	9
PRSS23	17910	17404	17858	17230	13479	13166
AP000654.4	9	4	4	7	4	6
RP11-736K20.5	7	4	10	6	3	4
FZD4	144	189	137	239	262	213
RP11-736K20.6	5	6	3	10	4	3
TMEM135	429	793	475	437	654	446
RP11-720D4.3	0	1	0	0	2	0
RP11-164N3.1	1	2	2	2	3	0
RP11-164N3.3	2	0	1	0	1	1
RAB38	1	4	5	2	4	2
CTSC	1386	1391	1798	1567	1399	1645
GRM5-AS1	1	3	0	1	2	3
GRM5	8	10	4	9	10	8
TYR	4	5	2	5	3	4
NOX4	2	7	3	5	9	14
TRIM77	1	2	0	0	5	4
RP11-313I2.11	0	1	0	1	1	2
TRIM49	5	2	2	1	4	3
TRIM64B	1	2	0	3	4	4
TRIM49D1	3	1	2	2	0	4
TRIM49C	6	3	0	1	3	3
NAALAD2	18	25	32	38	27	37
CHORDC1	2176	2137	2178	2390	1924	2084
RP11-699F16.2	0	0	0	2	2	1
RP11-201M22.1	3	1	1	1	3	2
FAT3	16	20	22	14	25	19
RP11-675M1.2	1	2	2	1	1	3
RP11-203F8.1	2	1	1	0	0	2
RP11-676F20.1	1	1	2	0	0	1
MTNR1B	5	0	2	1	4	2
SLC36A4	515	540	481	583	559	501
RP11-755E23.3	1	0	1	0	1	1
CCDC67	5	8	8	6	7	8
SMCO4	204	157	201	247	178	189
KIAA1731	761	838	862	891	787	766
SCARNA9	3	7	2	2	4	0
TAF1D	1758	2068	1861	1692	1627	1666
C11orf54	348	531	389	384	478	366
MED17	925	1032	941	1072	978	844
VSTM5	1	6	2	3	6	2
HEPHL1	7	7	8	9	9	9
PANX1	1310	1224	1350	1303	1075	1173
RP11-680H20.2	1	5	5	5	6	5
FOLR4	0	1	1	1	3	0
GPR83	5	5	4	3	12	8
MRE11A	806	1021	938	829	761	758
RP11-685N10.1	6	9	5	9	12	12
ANKRD49	240	311	261	228	226	206
LINC01171	0	2	0	1	2	1
PIWIL4	18	31	17	23	34	30
FUT4	413	354	508	301	235	279
RP11-867G2.8	2	0	2	1	4	3
RP11-867G2.5	0	2	0	1	3	1
RP11-867G2.6	0	2	1	2	1	2
AMOTL1	1404	1481	1550	958	988	825
RP11-856F16.2	0	0	1	1	0	0
CWC15	865	991	1008	935	910	849
KDM4D	65	60	73	58	71	80
KDM4E	1	4	2	2	3	2
ENDOD1	1230	1348	1397	1416	1258	1267
RP11-712B9.2	6	5	4	9	8	9
SESN3	16	15	13	19	32	24
RP11-338H14.1	1	0	1	0	3	3
RP11-644L4.1	0	1	0	2	2	2
FAM76B	298	322	307	301	283	269
CEP57	1010	1086	1091	896	942	906
MTMR2	1615	1818	1927	1603	1420	1494
MAML2	291	305	320	220	241	218
CCDC82	589	702	598	594	618	619
JRKL	357	388	364	349	380	339
JRKL-AS1	0	1	0	0	2	2
RP11-49K4.2	0	1	0	2	1	2
RP11-360K13.1	3	2	2	5	0	3
RP11-882G5.1	3	1	0	1	0	0
RP11-379J13.2	4	2	0	2	2	1
RP11-115E19.1	0	1	1	0	0	3
RP11-99C10.1	1	1	0	1	0	0
CNTN5	11	6	7	12	13	24
CTD-2383M3.1	7	12	7	9	7	4
ARHGAP42	230	237	235	307	265	266
TMEM133	59	48	58	51	51	71
PGR	12	8	8	14	16	9
TRPC6	5	9	7	13	9	8
ANGPTL5	2	5	4	3	3	5
KIAA1377	141	203	153	127	147	125
C11orf70	71	122	80	53	88	49
YAP1	4363	4562	4031	3034	3074	2506
BIRC3	1260	1238	1029	2397	2656	1642
BIRC2	1711	1796	2041	2164	2199	2038
TMEM123	6441	7956	6760	7542	7600	6789
RP11-315O6.1	6	8	6	4	5	3
RP11-315O6.2	2	1	2	0	4	3
MMP7	14	11	11	11	26	6
MMP20	3	6	2	7	12	7
RP11-817J15.2	3	0	3	0	2	1
RP11-817J15.3	3	1	3	4	1	2
MMP27	2	4	2	3	4	3
MMP8	3	4	9	3	4	6
MMP10	3	0	2	2	7	3
MMP1	28	19	60	28	19	79
MMP3	3	8	2	6	2	5
MMP13	4	3	4	7	2	9
DCUN1D5	1480	1599	1727	1622	1437	1379
DYNC2H1	453	608	479	488	522	438
RP11-563P16.1	1	3	2	0	2	2
PDGFD	12	10	7	5	14	10
RP11-617B3.2	1	0	2	0	1	2
DDI1	3	1	0	0	4	1
RP11-886D15.1	0	2	3	0	5	4
CASP12	1	2	2	4	4	6
CASP4	255	232	237	344	325	269
CASP5	1	4	2	2	5	5
CASP1	5	9	9	10	29	7
CARD16	2	5	0	5	7	4
CARD17	3	8	5	2	9	5
CARD18	19	28	9	14	15	14
RP11-94P11.4	17	19	14	21	14	17
GRIA4	11	11	7	14	10	22
MSANTD4	570	691	603	580	488	557
KBTBD3	47	97	62	58	100	68
AASDHPPT	1260	1493	1247	1476	1383	1101
RP11-677I18.3	13	16	12	11	8	17
RP11-677I18.4	0	0	1	0	1	2
GUCY1A2	146	149	86	122	126	97
RP11-819C21.1	19	18	12	23	30	21
CWF19L2	332	326	288	327	318	299
ALKBH8	361	309	438	384	373	397
ELMOD1	62	74	140	104	119	175
SLN	5	2	2	6	1	2
AP002353.1	0	0	0	0	0	1
AP001024.2	1	1	0	0	0	0
AP001024.1	1	0	0	0	2	0
SLC35F2	3042	2887	3394	3502	2729	3259
RAB39A	90	103	82	116	84	96
CUL5	1029	1191	1110	1069	1098	931
RP11-144G7.2	0	0	1	0	0	1
ACAT1	1274	1474	1409	1120	972	875
NPAT	617	709	552	604	608	524
ATM	2192	2574	2250	2167	2229	2078
AP001925.1	1	0	0	0	2	0
C11orf65	18	24	15	24	24	20
KDELC2	1540	1606	1541	1712	1395	1258
EXPH5	38	18	23	34	32	45
DDX10	1107	1161	1124	1019	924	917
RP11-25I9.2	1	3	2	0	1	0
RP11-708B6.2	3	2	0	3	2	5
C11orf87	5	3	1	2	8	4
RP11-262A12.1	3	1	1	3	3	4
ZC3H12C	404	284	383	458	404	446
RDX	3486	4580	3664	3664	3697	3203
RP11-347E10.1	5	11	8	8	3	2
FDX1	566	686	600	564	534	503
ARHGAP20	6	13	9	10	11	15
RP11-89C3.3	0	0	0	1	1	0
RP11-89C3.4	0	3	1	1	0	2
C11orf53	2	0	1	3	2	4
COLCA1	5	2	2	5	1	4
COLCA2	1	0	3	2	3	3
POU2AF1	11	6	2	10	15	8
RP11-794P6.3	1	0	1	0	1	2
RP11-794P6.2	4	2	1	0	1	6
BTG4	3	3	2	5	2	2
RP11-794P6.6	2	0	1	0	0	2
C11orf88	3	2	7	3	8	4
LAYN	209	197	409	308	271	374
SIK2	1599	1463	1578	1454	1283	1351
PPP2R1B	1720	1812	1888	2161	1725	1796
RP11-108O10.2	3	4	5	2	4	3
ALG9	704	823	829	775	756	781
FDXACB1	62	77	78	71	53	51
C11orf1	151	134	136	162	171	105
CRYAB	6	5	4	3	8	7
HSPB2	0	1	2	0	0	1
C11orf52	0	0	1	0	3	0
DIXDC1	453	635	520	447	529	407
DLAT	2931	3354	3044	2963	2828	2491
PIH1D2	27	42	26	31	22	34
C11orf57	798	832	887	779	842	765
TIMM8B	1101	1011	1053	1069	739	839
SDHD	2215	2333	2279	2641	2479	2188
IL18	378	484	461	445	522	511
RP11-356J5.4	0	0	1	0	3	0
TEX12	0	1	0	0	0	0
BCO2	22	29	17	24	24	24
PTS	540	582	529	435	437	428
PLET1	0	0	1	0	3	2
AP002884.2	0	0	3	0	0	1
RP11-65M17.3	4	3	4	6	5	4
RP11-65M17.1	0	7	3	0	4	7
RP11-27G22.1	1	2	2	1	0	2
RP11-629G13.1	2	2	0	7	2	3
NCAM1	101	147	167	107	124	196
NCAM1-AS1	2	1	1	2	3	4
RP11-839D17.3	6	11	8	6	9	8
TTC12	207	271	260	202	206	184
ANKK1	6	3	8	4	9	2
RP11-159N11.3	2	3	2	2	2	3
DRD2	9	6	6	9	7	5
TMPRSS5	10	13	19	15	20	16
ZW10	970	1042	1016	500	427	397
RP11-667M19.2	3	1	1	1	1	1
CLDN25	0	0	0	1	1	0
USP28	1146	1450	1205	1378	1339	1035
RP11-667M19.10	0	4	2	1	1	1
HTR3B	3	1	3	4	5	7
HTR3A	1	7	4	1	4	1
ZBTB16	2	5	2	5	14	19
RP11-64D24.2	1	1	0	1	1	3
NNMT	97	87	32	152	149	36
RP11-64D24.4	5	2	0	4	1	2
C11orf71	0	0	3	1	2	3
RBM7	342	382	300	320	304	278
RP11-212D19.4	2	1	4	2	4	1
REXO2	902	1024	849	936	982	824
NXPE1	2	6	2	3	9	10
NXPE4	4	0	4	4	2	7
NXPE2	6	2	3	3	3	4
CADM1	48	64	69	43	73	82
AP000462.3	3	0	0	0	0	0
AP000462.2	0	0	0	2	3	0
RP11-136I14.2	0	1	0	0	1	2
RP11-136I14.5	2	2	0	0	1	1
AP000997.1	1	0	0	1	0	1
AP000997.2	11	7	2	8	13	13
AP000797.3	2	0	0	0	1	1
LINC00900	4	2	3	2	11	2
AP000797.4	1	4	1	2	1	3
AP001891.1	2	1	1	0	1	1
AP000770.1	1	0	2	1	2	3
BUD13	692	646	692	595	557	518
AP006216.10	2	4	2	0	5	2
AP006216.11	10	12	23	11	13	14
ZNF259	2947	2720	3005	2763	2229	2131
APOA5	1	1	2	2	3	2
AP006216.5	1	1	0	1	1	0
APOA4	5	2	0	1	1	0
APOC3	2	0	3	0	1	1
APOA1	3	1	1	1	5	1
APOA1-AS	5	4	7	1	5	0
SIK3	1558	1398	1476	1561	1216	1379
AP000936.4	0	0	3	3	2	2
PAFAH1B2	3201	3357	2960	1840	1995	1571
SIDT2	1563	2063	1473	1451	1597	1134
TAGLN	112	126	126	124	125	118
PCSK7	1710	1474	1642	1385	1173	1238
RNF214	671	818	775	640	604	555
BACE1	401	516	488	349	405	345
CEP164	1778	1769	1806	1272	1279	1301
AP000892.4	0	3	0	4	2	0
DSCAML1	20	21	9	13	19	18
RP11-35P15.1	0	1	2	0	1	3
FXYD2	3	4	5	2	8	7
RP11-728F11.3	0	0	1	0	0	0
RP11-728F11.4	0	2	0	2	1	1
FXYD6	5	5	1	4	15	10
TMPRSS13	7	7	1	9	6	7
IL10RA	3	4	4	8	10	6
TMPRSS4-AS1	0	0	3	1	1	3
TMPRSS4	8	6	7	8	15	13
SCN4B	8	4	7	4	4	9
SCN2B	5	2	2	2	2	8
AMICA1	7	13	8	5	10	13
MPZL3	33	43	29	17	27	27
MPZL2	11	3	3	3	5	3
CD3E	3	4	4	1	4	4
CD3D	2	2	2	0	7	1
CD3G	2	2	2	3	6	9
UBE4A	1516	1384	1398	1493	1397	1319
RP11-770J1.5	9	4	7	5	5	6
ATP5L	1855	1973	1907	1579	1484	1336
RP11-770J1.4	6	1	1	3	3	3
KMT2A	6002	6051	5572	6117	5587	4817
RP11-770J1.3	3	1	2	2	2	0
TTC36	5	2	3	3	2	5
TMEM25	209	271	233	224	279	226
IFT46	39	56	50	41	54	54
ARCN1	5059	5261	5030	5203	4575	4329
PHLDB1	2157	2239	1985	1883	1929	1513
AP002954.3	21	17	14	16	18	11
TREH	10	5	5	6	8	7
AP002954.4	0	0	1	1	1	2
DDX6	2763	3413	2875	2980	3332	2831
CXCR5	1	0	2	2	3	1
RP11-158I9.5	4	3	0	1	3	5
BCL9L	8885	7598	8097	8254	6467	6897
UPK2	11	8	11	9	10	10
RP11-158I9.7	0	2	0	2	2	0
FOXR1	0	3	1	3	5	4
RP11-110I1.12	51	60	54	75	56	53
CCDC84	400	441	496	531	492	531
RP11-110I1.11	43	40	42	59	82	62
RPS25	6696	9501	8618	7932	8815	7701
TRAPPC4	1002	1154	1079	1197	917	922
SLC37A4	1041	1135	1084	1004	1014	864
HYOU1	11351	10936	11217	10455	8245	9305
RP11-110I1.14	13	14	8	6	7	9
RP11-110I1.13	17	11	12	14	7	6
VPS11	898	862	892	992	858	783
HMBS	852	858	872	918	876	784
H2AFX	2624	2166	2403	3004	2232	2048
DPAGT1	2000	2144	1955	1830	1638	1573
C2CD2L	332	315	324	323	270	296
HINFP	692	737	734	679	647	624
ABCG4	18	38	33	39	50	34
AP002956.1	0	0	0	0	1	1
NLRX1	814	771	868	912	691	765
PDZD3	2	4	3	1	2	3
CCDC153	13	41	22	19	39	19
CBL	4460	4355	4379	4076	3829	3586
MCAM	2465	3055	3094	2777	3187	2655
RNF26	2610	2485	2501	2462	2253	2068
USP2	95	102	99	110	117	108
RP11-334E6.3	1	1	0	0	1	0
USP2-AS1	89	98	89	108	111	102
THY1	38	55	32	73	84	55
RP11-196E1.3	7	5	2	5	7	7
PVRL1	705	621	692	796	675	709
CTD-2523D13.1	1	1	0	0	1	3
CTD-2523D13.2	2	2	3	3	6	3
RP11-831A10.2	1	3	3	3	2	3
RP11-831A10.1	1	1	1	3	1	0
TRIM29	16	14	6	13	20	23
AP000679.2	1	1	1	1	4	2
OAF	156	263	133	240	284	152
POU2F3	5	4	5	3	7	15
RP11-778O17.4	6	1	4	2	4	3
TMEM136	372	443	373	459	444	352
ARHGEF12	5573	5714	5247	5592	5378	4909
GRIK4	12	9	9	10	14	18
AP002348.1	2	0	1	0	0	0
RP11-640N11.2	0	3	3	8	8	5
TBCEL	428	505	485	560	544	466
TECTA	16	13	13	21	38	16
SC5D	515	650	552	683	641	520
RP11-730K11.1	5	2	4	5	6	9
SORL1	5137	5595	5202	5509	5408	4812
BLID	2	2	1	7	2	6
RP11-716H6.1	2	1	0	0	3	1
RP11-716H6.2	1	0	2	0	0	2
UBASH3B	4948	4674	6742	5679	4988	6438
CRTAM	7	3	12	4	6	7
C11orf63	236	292	255	237	237	246
BSX	1	2	1	3	4	1
HSPA8	46527	35325	50898	50720	32002	47616
CLMP	12	10	12	13	15	16
CTD-2216M2.1	1	4	3	0	4	3
RP11-109E10.1	0	1	0	0	1	0
AP000783.1	2	2	1	6	3	6
LINC01059	6	3	3	7	4	1
GRAMD1B	33	36	46	51	69	45
SCN3B	10	11	4	6	10	7
RP11-634B22.4	1	0	1	0	0	2
ZNF202	618	639	641	563	443	480
OR6X1	1	2	1	0	0	3
OR6M1	1	3	1	3	2	0
TMEM225	1	0	0	2	0	2
OR8D4	2	4	0	1	2	0
OR4D5	1	1	2	1	2	0
OR6T1	1	1	2	1	0	0
OR10S1	1	0	3	1	1	2
OR10G6	0	0	1	3	1	1
OR10G4	0	0	0	0	1	1
OR10G9	2	0	2	0	1	2
OR10G8	1	1	0	2	2	2
OR10G7	1	1	2	1	1	0
VWA5A	80	143	67	141	235	92
OR10D3	3	0	3	0	3	0
OR8G5	0	0	2	2	3	1
OR8D1	1	2	2	0	1	2
OR8D2	1	1	1	1	1	2
OR8B2	2	0	0	0	2	3
OR8B3	1	1	0	0	0	0
OR8B4	1	1	0	0	1	0
OR8B8	1	3	0	0	0	2
OR8B12	1	0	1	0	2	1
OR8A1	1	0	0	3	2	0
PANX3	1	2	3	3	1	6
TBRG1	716	812	794	715	701	646
SIAE	278	447	312	329	344	253
SPA17	86	130	111	95	126	120
NRGN	102	138	144	164	133	131
RP11-677M14.2	0	2	2	0	2	1
VSIG2	5	4	4	5	8	5
ESAM	143	159	168	179	148	183
RP11-677M14.3	9	18	17	11	14	21
MSANTD2	303	325	324	360	301	290
RP11-677M14.7	25	22	20	29	23	16
ROBO3	266	306	286	323	333	329
ROBO4	9	5	12	15	11	19
HEPACAM	3	1	0	2	4	1
CCDC15	156	115	136	137	123	129
SLC37A2	17	16	13	14	19	23
TMEM218	488	618	490	521	585	472
RP11-687M24.4	0	1	1	1	1	1
RP11-687M24.5	1	0	1	0	2	3
PKNOX2	7	2	11	14	12	9
RP11-687M24.8	1	2	1	1	5	0
FEZ1	18	43	18	56	62	16
AP000708.1	1	5	2	1	1	0
EI24	4420	4321	4396	5081	3996	4344
STT3A-AS1	6	7	3	4	4	3
STT3A	6628	6708	6971	6841	5870	5759
CHEK1	994	1006	905	1179	1017	959
ACRV1	12	16	12	15	17	8
PATE1	2	1	1	1	1	2
PATE2	2	3	6	3	8	8
PATE3	1	5	0	3	1	1
PATE4	7	8	6	0	7	9
RP11-680F20.10	2	2	4	2	4	4
HYLS1	624	574	605	740	623	600
PUS3	384	401	401	350	324	310
RP11-680F20.9	2	2	0	1	6	2
DDX25	4	3	2	11	12	12
RP11-680F20.11	1	1	2	1	3	0
RP11-680F20.5	0	1	2	2	1	2
RP11-680F20.4	1	2	0	1	0	0
RP11-680F20.6	2	0	1	4	3	2
CDON	176	247	136	226	220	145
RP11-673E11.2	0	0	1	0	1	2
RP11-50B3.2	2	2	2	2	1	0
RPUSD4	1048	1069	1135	978	879	897
RP11-50B3.4	6	7	5	6	13	9
FAM118B	588	627	593	579	528	527
SRPR	7251	7289	7783	7181	6075	6127
FOXRED1	1449	1391	1343	1346	1264	1169
TIRAP	326	260	304	345	265	283
RP11-712L6.7	0	2	0	2	0	0
RP11-712L6.5	22	21	27	25	29	29
DCPS	549	541	588	629	544	509
ST3GAL4	976	889	882	1044	791	751
KIRREL3	13	19	10	26	27	35
KIRREL3-AS1	0	0	1	0	1	1
RP11-115C10.1	0	2	2	0	1	1
RP11-688I9.4	0	0	0	2	0	0
KIRREL3-AS2	0	0	0	1	1	2
RP11-688I9.2	1	0	0	2	1	0
KIRREL3-AS3	3	2	1	1	2	3
RP11-168K9.1	1	0	0	2	1	2
RP11-168K9.2	1	4	1	3	5	6
CTD-2234N14.2	1	2	3	0	4	1
CTD-2234N14.1	3	2	1	2	3	2
RP11-480C22.1	2	1	0	0	3	1
RP11-702B10.2	2	0	2	1	2	0
RP11-702B10.1	0	0	4	1	0	2
ETS1	2411	2328	2446	2508	2153	2236
RP11-1007G5.2	5	3	2	2	0	1
RP11-264E20.2	0	0	0	1	1	1
RP11-264E20.1	1	1	2	0	1	1
RP11-744N12.3	0	3	0	1	5	5
FLI1	51	41	44	45	54	62
